"ID","SongName","Performer","CivilDate","HebrewDate","Composer","Poet","MusicalAdapter","Others","PlaceOfPublication","NameOfPublisher"
"003680131","מפנה מקום","סחרוף ברי","1995","","סחרוף ברי","סחרוף ברי, תורן דן","סחרוף ברי, פרח עודד, לוטנברג אורן, לרוז חיים","","",""
"003680132","יונייטד","אוסמו נטלי","","","תמיר דודי","אוסמו נטלי","תמיר דודי","","",""
"003680133","באטרפליי ריטנד סאמדאי","אוסמו נטלי","","","תמיר דודי","אוסמו נטלי","תמיר דודי","","",""
"003680134","בלוז","אוסמו נטלי","","","תמיר דודי","אוסמו נטלי","תמיר דודי","","",""
"003680135","לונלי","אוסמו נטלי","","","תמיר דודי","אוסמו נטלי","תמיר דודי","","",""
"003680136","יו מייק מי פייל","אוסמו נטלי","","","אוסמו נטלי, תמיר דודי","אוסמו נטלי","אוסמו נטלי","","",""
"003680137","אובסאשיון","אוסמו נטלי","","","תמיר דודי","אוסמו נטלי","תמיר דודי","","",""
"003680138","דיסטאוט ההרטס","אוסמו נטלי","","","תמיר דודי","אוסמו נטלי","תמיר דודי","","",""
"003680139","פולישון","אוסמו נטלי","","","רוזנברג סידני","רוזנברג סידני","תמיר דודי","","",""
"003680141","אהבה אבודה","צנעני מרגלית","1988","","צנעני מרגלית","חזון מיכל","הדר חיים","","",""
"003680142","נערי שובה אלי","צנעני מרגלית","1988","","שושן דני","שושן דני","הדר חיים","","",""
"003680143","מלכה בלי מלך","צנעני מרגלית","1988","","שרעבי ציון","שרעבי ציון","חרד יגאל","","",""
"003680144","שמור אותי","צנעני מרגלית","1988","","שרעבי ציון","שרעבי ציון","חרד יגאל","","",""
"003680145","עלם חמודות","צנעני מרגלית","1988","","","כישור שלמה","הדר חיים","","",""
"003680146","שלום תברכנו","צנעני מרגלית","1988","","מדינה אביהו","מדינה אביהו","ברנדס ננסי","","",""
"003680149","כמו שאתה יודע","צנעני מרגלית","1988","","חיטמן עוזי","חיטמן עוזי","ברנדס ננסי","","",""
"003680151","רק בחיוך","צנעני מרגלית","1988","","","","הדר חיים","","",""
"003680152","למה האמנתי","צנעני מרגלית","1988","","פוליקוב לא מזוהה","חזון מיכל","הדר חיים","","",""
"003680153","מחרוזת קול אורלוגין","צנעני מרגלית","1988","","","","","","",""
"003680154","אמשיך בדרכי","צנעני מרגלית","1988","","","","הדר חיים","","",""
"003680155","מחרוזת ערבית","צנעני מרגלית","1988","","","","","","",""
"003680158","מרינלה","הגבעטרון","1994","","","ברק דודו","גלבוע אילן","","",""
"003680159","כולכם שחקו נא אתי","הגבעטרון","1994","","בלכרוביץ מישה","טרטנר מירה","גלבוע אילן","","",""
"003680161","ניגודים","הגבעטרון","1994","","","גינאי יואב","גלבוע אילן","","",""
"003680163","זה כבר טבע","הגבעטרון","1994","","","גינאי יואב","גלבוע אילן","","",""
"003680167","מחרוזת איילת אהבים","הגבעטרון","1994","","","","","","",""
"003680168","ברקים ורעמים","הכבש השישה עשר הרכב","2007","","ברוזה דויד","גפן יהונתן","אולארצ'יק אלון","","",""
"003680171","מי שמביט","הכבש השישה עשר הרכב","2007","","רכטר יוני","גפן יהונתן","רכטר יוני","","",""
"003680172","הי אני כבר לא תינוק","הכבש השישה עשר הרכב","2007","","נסטוביץ' עדה","גפן יהונתן","אולארצ'יק אלון","","",""
"003680173","ברקים ורעמים","הכבש השישה עשר הרכב","2007","","ברוזה דויד","גפן יהונתן","אולארצ'יק אלון","","",""
"003680176","מי שמביט","הכבש השישה עשר הרכב","2007","","רכטר יוני","גפן יהונתן","רכטר יוני","","",""
"003680177","הי אני כבר לא תינוק","הכבש השישה עשר הרכב","2007","","נסטוביץ' עדה","גפן יהונתן","אולארצ'יק אלון","","",""
"003680178","ספרי לי","קלה איציק","2002","","חריסוורגיס אלכסנדרוס, אלכסנדרקי איריני","ספדיה ארלט, גל מרטין, ספירידון גיטרס","עג'ם תומר","","",""
"003680180","עד מתי","קלה איציק","2002","","","קלה איציק","ראובני שי","","",""
"003680181","שנים ללא תקוה","קלה איציק","2002","","","כישור שלמה","ראובני שי","","",""
"003680182","מאמי","קלה איציק","2002","","שושן דני","שושן דני","אורלו אלי","","",""
"003680184","אמא","קלה איציק","2002","","שושן דני","שושן דני","אורלו אלי","","",""
"003680185","כמו הרוח","קלה איציק","2002","","","חוג'ה אלי","אורלו אלי","","",""
"003680187","אל נא תלכי","קלה איציק","2002","","","כישור שלמה","ראובני שי","","",""
"003680190","שבת מתנה","תבורי שימי","1993","","מדינה אביהו","מדינה אביהו","שרים אלדד","","",""
"003680192","שיר של אבא","תבורי שימי","1993","","מדינה אביהו","מדינה אביהו","שרים אלדד","","",""
"003680193","זכרונות","תבורי שימי","1993","","תבורי שימי","רבין אליעוז","שרים אלדד","","",""
"003680194","כמה טוב שאת בבית","תבורי שימי","1993","","אילוז פליקס","גולדהירש אילן","שרים אלדד","","",""
"003680195","ואת לא באת","תבורי שימי","1993","","ברזל עמוס","ברזל עמוס, פרידמן ניסן","ברנדס ננסי","","",""
"003680196","אין לך לאן לברוח","תבורי שימי","1993","","דוד מאיר","חיטמן עוזי","נגרי בני","","",""
